#,Brand,Model,Year Start,Year End,BR,Sub Model,Doors,Seats,X,First Sample Container,Fitting Confirm
039,HYUNDAI,ELANTRA,2016,2019,BR1,N1,4,5,X1183,,Confirmed
040,HYUNDAI,ELANTRA,2016,2019,BR2,N2,4,5,X1359,,Confirmed
041,HYUNDAI,ELANTRA,2020,2025,BR1,N5,4,5,X1783/2034,,Confirmed
042,HYUNDAI,ELANTRA,2020,2025,BR1,N2,4,5,X2035/X1776,,Confirmed
043,HYUNDAI,ELANTRA,2020,2025,BR1,N3,4,5,X1783/X2034,,Confirmed
044,HYUNDAI,GRAND CRETA,2021,2025,BR2,,4,7,X3041,,Confirmed
045,HYUNDAI,H1,2014,2021,,N1,4,9,X1057,,Confirmed
046,HYUNDAI,KONA,2018,2025,,N1,4,5,X3082,,Confirmed
047,HYUNDAI,SANTA FE,2007,2012,,,4,7,X0342,R-97,Confirmed
048,HYUNDAI,SANTA FE,2013,2018,,,4,7,X0341,R-97,Confirmed
049,HYUNDAI,SANTA FE,2019,2023,BR2,,4,7,X1519,,Confirmed
050,HYUNDAI,SANTA FE,2024,2025,BR2,,4,7,X3021,Container #88,Confirmed
051,HYUNDAI,SONATA,2010,2014,BR1,N1,4,5,X0380,,Confirmed
052,HYUNDAI,SONATA,2015,2018,BR1,N1,4,5,X1004,,Confirmed
053,HYUNDAI,SONATA,2015,2018,BR2,N2,4,5,X1301 ,,Confirmed
054,HYUNDAI,SONATA,2019,2025,BR1,N2,4,5,X1753,,Confirmed
055,HYUNDAI,STARIA,2022,2024,,N1,4,9,X1910,,Confirmed
056,HYUNDAI,STARIA,2022,2024,,N2,4,11,X1913,Container # ,Confirmed
057,HYUNDAI,TUCSON,2010,2015,BR2,,4,5,X0349,,Confirmed
058,HYUNDAI,TUCSON,2016,2020,BR2,,4,5,X1140,,Confirmed
059,HYUNDAI,TUCSON,2021,2025,,N1,4,5,X1733,,Confirmed
060,HYUNDAI,VENUE,2018,2025,,N2,4,5,X3055,,Confirmed
061,ISUZU,D-MAX 4D,2023,2025,,N1,4,5,X2036,,Confirmed
